number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
6077,Heliomaster furcifer,unknown,7.8823,0.1392
6078,Heliomaster longirostris,unknown,6.7367,0.0869
6079,Heliomaster squamosus,male,7.3372,0.0931
6080,Heliomaster squamosus,unknown,7.2273,0.0873
6081,Heliopais personatus,female,5.6864,0.0409
6082,Heliopais personatus,male,5.5901,0.0515
6083,Heliopais personatus,unknown,5.601,0.0583
6084,Heliornis fulica,male,6.097,NA
6085,Heliornis fulica,unknown,5.4824,0.0515
6086,Heliothryx auritus,female,7.1275,0.1062
6087,Heliothryx auritus,male,7.0207,0.0849
6088,Heliothryx auritus,unknown,7.3481,0.0941
6089,Heliothryx barroti,unknown,7.2916,0.1017
6090,Hellmayrea gularis,unknown,5.0352,0.0505
6091,Helmitheros vermivorum,male,6.7324,0.0844
6092,Helmitheros vermivorum,unknown,5.9742,0.0594
6093,Hemicircus canente,male,6.252,0.0783
6094,Hemicircus canente,unknown,6.5938,0.0724
6095,Hemicircus concretus,male,6.6653,0.0673
6096,Hemicircus concretus,unknown,6.2162,0.0587
6097,Hemignathus wilsoni,male,6.0448,0.0962
6098,Hemignathus wilsoni,unknown,5.988,0.0482
6099,Hemimacronyx chloris,male,5.0544,0.0244
6100,Hemimacronyx chloris,unknown,5.8175,0.0598
6101,Hemimacronyx sharpei,unknown,4.8568,0.06
6102,Hemiphaga chathamensis,unknown,5.6557,0.0542
6103,Hemiphaga novaeseelandiae,unknown,5.6613,0.0515
6104,Hemiprocne comata,unknown,7.1879,0.0862
6105,Hemiprocne coronata,female,6.0903,0.0633
6106,Hemiprocne coronata,male,6.2046,0.0668
6107,Hemiprocne coronata,unknown,6.6319,0.048
6108,Hemiprocne longipennis,female,6.85,0.0141
6109,Hemiprocne longipennis,unknown,6.3566,0.0661
6110,Hemiprocne mystacea,unknown,6.9604,0.0736
6111,Hemipus hirundinaceus,male,5.2299,0.048
6112,Hemipus hirundinaceus,unknown,5.9304,0.0729
6113,Hemipus picatus,unknown,5.9468,0.1071
6114,Hemithraupis flavicollis,male,6.4827,0.0514
6115,Hemithraupis flavicollis,unknown,5.8202,0.0568
6116,Hemithraupis guira,male,6.6143,0.0504
6117,Hemithraupis guira,unknown,6.5006,0.0902
6118,Hemithraupis ruficapilla,male,6.3928,0.0545
6119,Hemithraupis ruficapilla,unknown,6.4575,0.0563
6120,Hemitriccus cinnamomeipectus,unknown,5.8655,0.0649
6121,Hemitriccus cohnhafti,unknown,5.096,0.0745
6122,Hemitriccus diops,unknown,5.892,0.0611
